Date,Price
04/15/2021,63.51
04/14/2021,63.22
04/13/2021,60.24
04/12/2021,59.75
04/09/2021,59.35
04/08/2021,59.63
04/07/2021,59.81
04/06/2021,59.37
04/05/2021,58.68
04/01/2021,61.48
03/31/2021,59.18
03/30/2021,60.56
03/29/2021,61.53
03/26/2021,60.96
03/25/2021,58.57
03/24/2021,61.16
03/23/2021,57.78
03/22/2021,61.56
03/19/2021,61.44
03/18/2021,60.06
03/17/2021,64.63
03/16/2021,64.86
03/15/2021,65.44
03/12/2021,65.64
03/11/2021,66
03/10/2021,64.42
03/09/2021,63.99
03/08/2021,64.93
03/05/2021,65.92
03/04/2021,63.62
03/03/2021,61.1
03/02/2021,59.57
03/01/2021,60.42
02/26/2021,61.23
02/25/2021,63.22
02/24/2021,63
02/23/2021,61.43
02/22/2021,61.7
02/19/2021,59.26
02/18/2021,60.53
02/17/2021,61.16
02/16/2021,60.08
02/15/2021,60.09
02/14/2021,60.37
02/12/2021,59.38
02/11/2021,58.14
02/10/2021,58.57
02/09/2021,58.25
02/08/2021,57.83
02/05/2021,56.7
02/04/2021,56.07
02/03/2021,55.54
02/02/2021,54.62
02/01/2021,53.42
01/29/2021,52.08
01/28/2021,52.24
01/27/2021,52.73
01/26/2021,52.52
01/25/2021,52.67
01/22/2021,52.19
01/21/2021,53.05
01/20/2021,53.31
01/19/2021,52.98
01/18/2021,52.36
01/17/2021,52.2
01/15/2021,52.42
01/14/2021,53.62
01/13/2021,52.96
01/12/2021,53.24
01/11/2021,52.27
01/08/2021,52.26
01/07/2021,50.87
01/06/2021,50.69
01/05/2021,50.01
01/04/2021,47.76
12/31/2020,48.63
12/30/2020,48.5
12/29/2020,48.14
12/28/2020,47.77
12/24/2020,48.35
12/23/2020,48.24
12/22/2020,47.16
12/21/2020,47.97
12/18/2020,49.24
12/17/2020,48.54
12/16/2020,48
12/15/2020,47.78
12/14/2020,47.15
12/11/2020,46.75
12/10/2020,46.96
12/09/2020,45.72
12/08/2020,45.8
12/07/2020,45.95
12/04/2020,46.42
12/03/2020,45.79
12/02/2020,45.44
12/01/2020,44.73
11/30/2020,45.51
11/27/2020,45.74
11/26/2020,44.98
11/25/2020,45.91
11/24/2020,45.11
11/23/2020,43.28
11/20/2020,42.42
11/19/2020,41.9
11/18/2020,42.01
11/17/2020,41.65
11/16/2020,41.57
11/13/2020,40.4
11/12/2020,41.41
11/11/2020,41.74
11/10/2020,41.67
11/09/2020,40.62
11/06/2020,37.49
11/05/2020,39.11
11/04/2020,39.47
11/03/2020,37.99
11/02/2020,37.18
10/30/2020,36.15
10/29/2020,36.51
10/28/2020,37.72
10/27/2020,39.87
10/26/2020,38.89
10/23/2020,40.15
10/22/2020,40.94
10/21/2020,40.31
10/20/2020,41.7
10/19/2020,41.06
10/16/2020,41.12
10/15/2020,41.24
10/14/2020,41.34
10/13/2020,40.49
10/12/2020,39.73
10/09/2020,40.91
10/08/2020,41.47
10/07/2020,40.23
10/06/2020,40.93
10/05/2020,39.5
10/02/2020,37.34
10/01/2020,39.01
09/30/2020,40.47
09/29/2020,39.56
09/28/2020,40.87
09/25/2020,40.51
09/24/2020,40.58
09/23/2020,40.22
09/22/2020,39.8
09/21/2020,39.54
09/18/2020,41.32
09/17/2020,41.22
09/16/2020,40.41
09/15/2020,38.55
09/14/2020,37.56
09/11/2020,37.65
09/10/2020,37.66
09/09/2020,38.41
09/08/2020,37.19
09/07/2020,39.2
09/06/2020,38.75
09/04/2020,40.15
09/03/2020,41.72
09/02/2020,41.85
09/01/2020,43.08
08/31/2020,42.9
08/28/2020,43.29
08/27/2020,43.31
08/26/2020,43.69
08/25/2020,43.65
08/24/2020,42.93
08/21/2020,42.62
08/20/2020,42.82
08/19/2020,43.11
08/18/2020,43.12
08/17/2020,43.17
08/14/2020,42.31
08/13/2020,42.52
08/12/2020,42.95
08/11/2020,41.87
08/10/2020,42.17
08/07/2020,41.49
08/06/2020,42.2
08/05/2020,42.43
08/04/2020,41.91
08/03/2020,41.31
07/31/2020,40.57
07/30/2020,40.24
07/29/2020,41.54
07/28/2020,41.28
07/27/2020,41.8
07/24/2020,41.45
07/23/2020,41.21
07/22/2020,42.04
07/21/2020,41.92
07/20/2020,40.92
07/17/2020,40.75
07/16/2020,40.93
07/15/2020,41.4
07/14/2020,40.55
07/13/2020,40.32
07/10/2020,40.76
07/09/2020,39.83
07/08/2020,41.04
07/07/2020,40.7
07/06/2020,40.73
07/03/2020,40.28
07/02/2020,40.76
07/01/2020,39.92
06/30/2020,39.34
06/29/2020,39.81
06/26/2020,38.65
06/25/2020,38.91
06/24/2020,38.21
06/23/2020,40.51
06/22/2020,40.73
06/19/2020,39.83
06/18/2020,39.05
06/17/2020,38.21
06/16/2020,38.65
06/15/2020,37.43
06/12/2020,36.51
06/11/2020,36.57
06/10/2020,39.78
06/09/2020,39.16
06/08/2020,38.43
06/05/2020,39.8
06/04/2020,37.72
06/03/2020,37.59
06/02/2020,37.06
06/01/2020,35.79
05/29/2020,35.84
05/28/2020,34.06
05/27/2020,33.23
05/26/2020,34.77
05/25/2020,33.92
05/24/2020,32.9
05/22/2020,33.65
05/21/2020,34.34
05/20/2020,33.94
05/19/2020,31.96
05/18/2020,31.65
05/15/2020,29.52
05/14/2020,27.88
